Simulation,Sensitivity,Specificity,Disease probability,MVD given disease,SVD given disease,QALY_NT,Cost_NT,QALY_EST,Cost_EST,QALY_ANG,Cost_ANG
794,0.786893358,0.886254061,0.55067753,0.659608683,0.340391317,8.116719205,818.7906349,6.242441918,4495.715086,9.106208246,2845.649066
795,0.910025281,0.943391652,0.565153936,0.648840488,0.351159512,8.054583813,811.7493885,5.198830877,4838.178384,8.985555802,2909.186012
796,0.883585986,0.905357968,0.563312558,0.64965923,0.35034077,8.063652994,812.760049,5.322145411,4755.289013,8.997564809,2901.407103
797,0.813942835,0.923866145,0.522600671,0.662630013,0.337369987,8.277897713,836.4600625,6.054055028,4457.238949,9.223761881,2732.9874
798,0.852253516,0.891372774,0.633581588,0.642100368,0.357899632,7.666377308,769.141211,5.890510158,4977.630619,8.685857397,3184.957987
799,0.80591647,0.927100342,0.6295878,0.688088746,0.311911254,7.574753729,760.3509686,6.478384668,4848.374984,9.030592063,3139.165899
800,0.896834443,0.918070356,0.586199343,0.717708681,0.282291319,7.769387368,782.2840173,5.096649083,4846.44834,9.368149476,2950.917376
801,0.870207945,0.952690126,0.680645306,0.599623569,0.400376431,7.503950775,750.1553128,6.265533195,5278.10558,8.180273088,3401.80562
802,0.858481068,0.911376547,0.605923799,0.804701019,0.195298981,7.437525585,748.2968157,5.290307481,4790.198423,9.91161328,2973.251517
803,0.866794941,0.904946356,0.598715878,0.687786637,0.312213363,7.7630999,780.8769213,5.517799185,4845.593868,9.127999742,3018.178902
804,0.800362517,0.917101497,0.664288167,0.714737481,0.285262519,7.29344653,730.4111718,6.501758329,4947.601336,9.120415112,3257.069547
805,0.811643181,0.906144143,0.609115309,0.667053348,0.332946652,7.750141635,778.9446222,6.295577617,4781.853992,8.950617063,3072.053705
806,0.874940527,0.911560664,0.670180424,0.720757868,0.279242132,7.240962771,724.861842,5.541274751,5140.93546,9.14917362,3275.864384
807,0.81601361,0.898179786,0.597519776,0.670512841,0.329487159,7.811422164,785.7204503,6.141656899,4738.959119,9.014299327,3024.151944
808,0.906161492,0.914362867,0.576713781,0.701720418,0.298279582,7.864830059,792.2982956,4.979327704,4833.019516,9.290490725,2923.506853
809,0.814797411,0.898902713,0.703813919,0.713101635,0.286898365,7.053615303,704.2608756,6.371108245,5127.08396,8.991948657,3412.311559
810,0.877380983,0.868897218,0.606548554,0.660242907,0.339757093,7.781957362,782.2454608,5.299454876,4897.331081,8.912452587,3066.192887
811,0.846043166,0.86787594,0.662721706,0.686693116,0.313306884,7.377058528,738.7603054,5.780346402,5040.199886,8.913301722,3270.174243
812,0.841595301,0.818550336,0.58470959,0.807892558,0.192107442,7.568873965,762.5913445,4.888457955,4617.262269,9.973042736,2890.612736
813,0.868414961,0.937907691,0.605282236,0.648455579,0.351544421,7.817891909,785.8710052,5.826485415,4918.39498,8.835672402,3068.560423
814,0.863744068,0.880058124,0.574771735,0.754036907,0.245963093,7.757132464,781.7929467,5.137302001,4688.738518,9.638935878,2884.831341
815,0.852400547,0.901424709,0.562967255,0.686861169,0.313138831,7.982394581,804.7633166,5.561618791,4668.029843,9.237368917,2878.390985
816,0.850714558,0.895495808,0.538231974,0.611792214,0.388207786,8.293316555,836.9991441,5.704430986,4601.110829,8.857214313,2823.034195
817,0.890172634,0.8955124,0.642389605,0.632638569,0.367361431,7.638633363,765.8499073,5.447360979,5109.358754,8.583636215,3226.230958
818,0.857529104,0.87201606,0.578736109,0.678488877,0.321511123,7.905907764,796.2246672,5.418509771,4731.148658,9.131154782,2945.31272
819,0.868375161,0.90719604,0.548313598,0.649837075,0.350162925,8.152129881,822.4334693,5.474852514,4663.1731,9.053566461,2841.838824
820,0.862565267,0.92229281,0.637856759,0.73957642,0.26042358,7.393867854,741.9817732,5.608400401,4973.87664,9.378008535,3137.676928
821,0.817102511,0.914112931,0.615853349,0.767242398,0.232757602,7.464330994,750.3178566,5.913919802,4763.904952,9.630059232,3034.872743
822,0.787497295,0.901535591,0.504628547,0.67561914,0.32438086,8.35923314,845.6156388,6.062300932,4319.601334,9.361534587,2655.198039
823,0.853875793,0.919391304,0.616461449,0.736819119,0.263180881,7.535042304,757.2573031,5.644842628,4868.239079,9.415036404,3056.594662
824,0.842962685,0.8794336,0.66600072,0.732370238,0.267629762,7.236146444,724.6492685,5.720020964,5022.363932,9.24917158,3251.606292
